table,column,type,nullable,key
customers,customer_id,char(32),NO,PRI
customers,customer_unique_id,char(32),NO,MUL
customers,customer_zip_code_prefix,varchar(10),YES,
customers,customer_city,varchar(100),YES,
customers,customer_state,char(2),YES,MUL
customers,created_at,timestamp,YES,
geolocation,geo_id,bigint,NO,PRI
geolocation,geolocation_zip_code_prefix,varchar(10),NO,MUL
geolocation,geolocation_lat,decimal(10,6),YES,
geolocation,geolocation_lng,decimal(10,6),YES,
geolocation,geolocation_city,varchar(100),YES,MUL
geolocation,geolocation_state,char(2),YES,MUL
order_items,order_id,char(32),NO,PRI
order_items,order_item_id,int,NO,PRI
order_items,product_id,char(32),NO,MUL
order_items,seller_id,char(32),NO,MUL
order_items,shipping_limit_date,datetime,YES,
order_items,price,decimal(10,2),NO,MUL
order_items,freight_value,decimal(10,2),NO,
order_payments,order_id,char(32),NO,PRI
order_payments,payment_sequential,int,NO,PRI
order_payments,payment_type,varchar(20),NO,MUL
order_payments,payment_installments,int,NO,
order_payments,payment_value,decimal(10,2),NO,
order_reviews,review_id,char(32),NO,PRI
order_reviews,order_id,char(32),NO,PRI
order_reviews,review_score,tinyint,NO,MUL
order_reviews,review_comment_title,varchar(255),YES,
order_reviews,review_comment_message,text,YES,
order_reviews,review_creation_date,datetime,YES,MUL
order_reviews,review_answer_timestamp,datetime,YES,
orders,order_id,char(32),NO,PRI
orders,customer_id,char(32),NO,MUL
orders,order_status,varchar(20),NO,MUL
orders,order_purchase_timestamp,datetime,NO,MUL
orders,order_approved_at,datetime,YES,
orders,order_delivered_carrier_date,datetime,YES,
orders,order_delivered_customer_date,datetime,YES,
orders,order_estimated_delivery_date,datetime,NO,
product_category,category_id,int,NO,PRI
product_category,category_name,varchar(100),NO,UNI
product_category,parent_category_id,int,YES,MUL
products,product_id,char(32),NO,PRI
products,category_id,int,YES,MUL
products,product_name_length,int,YES,
products,product_description_length,int,YES,
products,product_photos_qty,int,YES,
products,product_weight_g,decimal(10,2),YES,
products,product_length_cm,decimal(10,2),YES,
products,product_height_cm,decimal(10,2),YES,
products,product_width_cm,decimal(10,2),YES,
sellers,seller_id,char(32),NO,PRI
sellers,seller_zip_code_prefix,varchar(10),YES,
sellers,seller_city,varchar(100),YES,
sellers,seller_state,char(2),YES,MUL
